"filename", "language", "PHP", "CSS", "HTML", "JavaScript", "SVG", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\trodi\xampp_docs\bitnami.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 6, 18
"c:\xampp\htdocs\trodi\xampp_docs\dashboard\404.html", "HTML", 0, 0, 93, 0, 0, 0, 4, 18, 115
"c:\xampp\htdocs\trodi\xampp_docs\dashboard\de\faq.html", "HTML", 0, 0, 471, 0, 0, 0, 4, 42, 517
"c:\xampp\htdocs\trodi\xampp_docs\dashboard\de\howto.html", "HTML", 0, 0, 102, 0, 0, 0, 4, 18, 124
"c:\xampp\htdocs\trodi\xampp_docs\dashboard\de\howto_platform_links.html", "HTML", 0, 0, 73, 0, 0, 0, 4, 18, 95
"c:\xampp\htdocs\trodi\xampp_docs\dashboard\de\howto_shared_links.html", "HTML", 0, 0, 86, 0, 0, 0, 4, 18, 108
"c:\xampp\htdocs\trodi\xampp_docs\dashboard\de\index.html", "HTML", 0, 0, 110, 0, 0, 0, 4, 17, 131
"c:\xampp\htdocs\trodi\xampp_docs\dashboard\docs\access-phpmyadmin-remotely.html", "HTML", 0, 0, 136, 0, 0, 0, 4, 18, 158
"c:\xampp\htdocs\trodi\xampp_docs\dashboard\docs\activate-use-xdebug.html", "HTML", 0, 0, 181, 0, 0, 0, 4, 18, 203
"c:\xampp\htdocs\trodi\xampp_docs\dashboard\docs\auto-start-xampp.html", "HTML", 0, 0, 117, 0, 0, 0, 4, 18, 139
"c:\xampp\htdocs\trodi\xampp_docs\dashboard\docs\backup-restore-mysql.html", "HTML", 0, 0, 326, 0, 0, 0, 4, 18, 348
"c:\xampp\htdocs\trodi\xampp_docs\dashboard\docs\change-mysql-temp-dir.html", "HTML", 0, 0, 114, 0, 0, 0, 4, 18, 136
"c:\xampp\htdocs\trodi\xampp_docs\dashboard\docs\configure-use-tomcat.html", "HTML", 0, 0, 207, 0, 0, 0, 4, 18, 229
"c:\xampp\htdocs\trodi\xampp_docs\dashboard\docs\configure-vhosts.html", "HTML", 0, 0, 223, 0, 0, 0, 4, 18, 245
